abbreviations	1262733
completion-and-matching	1262734
directory-environments	1262735
drawing	1262736
ghost-suggestions	1262737
history-finder	1262738
hooks	1262739
line-editor	1262740
lua-interpreter	1262741
nav	1262742
oslo	1262743
posix-fidelity	1262744
prediction-and-repair	1262745
profiles-and-histories	1262746
rm-and-safety	1262747
runtime-features	1262748
scratch	1262816
structured-pipelines	1262749
terminal-integration	1262750
theme	1262751
the-prompt	1262752
two-languages-one-prompt	1262753
what-gets-written-down	1262754
where-you-have-been	1262755
your-own-tools	1262756
